URL,headline,article,label
https://www.bbc.com/news/articles/c8632n81dx3o,"Freed Israeli hostage was unaware wife and daughters killed, British family says","An Israeli hostage freed from Gaza did not know his wife and daughters were killed in the 7 October attack until after his release on Saturday, his British family said. Eli Sharabi was taken by Hamas 16 months ago andreleased on Saturdayin Deir al-Balah, in Gaza. His wife Lianne Sharabi, who was from Bristol, and daughters Noiya and Yahel were found murdered in their safe house""cuddled together""in 2023. Lianne's parents Gill and Pete Brisley told the BBC on Sunday that an Israeli Defence Forces (IDF) soldier told Mr Sharabi what happened to his family. His relatives had been unsure whether Mr Sharabi knew that Lianne, Noiya and Yahel - Mr and Mrs Brisley's daughter and grandchildren - were killed in the 7 October attack. He wasone of three hostages handed to the Red Cross by Hamasin a choreographed release on Saturday as part of aninternationally brokered ceasefire deal. Speaking on stage during his release, Mr Sharabi said he was ""very happy today to return to... my wife and daughters"", adding to concerns that he was unaware of what happened to them. Mr and Mrs Brisley said Mr Sharabi was ""lucid"" and his ""voice a bit husky"" when they spoke later on a video call. ""He got choked up a couple of times but managed a small smile for us. Such a brave man,"" said the couple who are due to fly out to see him soon. Mr and Mrs Brisley, who live in Bridgend, south Wales, said they cried watching their son-in-law's release on a livestream. They said Mr Sharabi's face looked ""gaunt"". Mr Brisley said it left them ""a bit wobbly"" and it was a ""very emotional morning"". He said: ""When we saw Eli it was to see the emaciated state that they've put him in. ""Eli's got quite a chubby face normally. You see the film of him with hollow eyes, sunken cheeks and his wrists were sticks."" Mrs Brisley said: ""Seeing Eli come out now, it brought everything back. [We] sat and bawled our eyes out. ""I was sitting there cuddling Lianne's teddy bear. I think I made him wet actually. It reminded us of what we lost."" ""The only thing that keeps us going is the fact we know Eli is back. At least there's one member of our very close family that is still alive,"" Mrs Brisley said. ""[We're] grateful to him for our two beautiful granddaughters, didn't have them for long enough. We need now to concentrate on all of the happy times. ""So we live in our memories, that's all we can do. Think about them, talk about them, and make sure nobody forgets them."" Mr Brisley said: ""We hope to be a part of getting him back to some sort of normal."" Lianne grew up in Staple Hill, on the outskirts of Bristol, and first moved to Israel as a volunteer on a kibbutz when she was 19, before relocating to the country permanently. After just three months in Israel, she met Eli. They had two daughters, Noiya and Yahel, who were 16 and 13 when they were killed. One of Eli's brothers, Yossi, was also taken hostage on 7 October, but was later killed in captivity. Hamas said his death was the result of an Israeli airstrike, which Israel said was likely. Another of the hostages freed on Saturday, Or Levy, also learned upon his release that his wife was killed by Hamas during the attack in which he was abducted, his brother said. Michael Levy told journalists: ""For 491 days, he [Or] held on to the hope that he would return to her. For 491 days, he didn't know she was no longer alive."" He said his brother was ""alive"" and ""here"", but their family's ""happiness is mixed with an immense sadness, a pain that cannot be described"". The release of the three hostages comes underthe ceasefire deal between Hamas and Israel, which came into effect on 19 January. Israel released 183 Palestinian prisoners on Saturday. The ceasefire deal will see a total of 33 hostages taken on 7 October released in weekly hand-overs in exchange for 1,900 Palestinians in Israeli prisons. So far, 16 Israeli hostages have been freed and 566 prisoners have been released since the ceasefire began. On 7 October Hamas seized 251 hostages and killed about 1,200 people when it attacked Israel, triggering the war. At least 47,500 Palestinians have been killed in Israel's offensive, according to Gaza's Hamas-run health ministry. About two-thirds of Gaza's buildings have been damaged or destroyed by Israel's attacks, the UN says. Follow BBC Bristol onFacebook,XandInstagram. Send your story ideas to us on email or viaWhatsApp on 0800 313 4630. ""Extra government funding"" could mean the work is finished by 2029. The group was set up to help people connect with nature and other people. Former MP Jack Lopresti lost his seat in the last election and joined the Ukrainian military. Meat grown in factory vats from chicken cells goes on sale at a London pet store. This week's image round-up includes a special visitor at Southmead, Copyright 2025 BBC. All rights reserved.TheBBCisnot responsible for the content of external sites.Read about our approach to external linking. ",Negative
https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-february-10-2025-dalal-street-indian-equities-global-markets/articleshow/118103540.cms,"Stock market today: BSE Sensex tanks over 650 points; Nifty50 below 23,400","The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 9 Biggest Time Wasters Students Should Avoid â8 proven tips for writing high-scoring answers in exam 8 Essential Skills Students Need for Employability 8 effective revision strategies to excel in your exams 8 things to do a day before your exam to score better 8 Clever Mind Hacks to Boost Your Academic Smarts 9 tricks to study smarter not harder during exams 9 good habits that successful students follow â10 proven strategies to combat stage fear and speak with confidence 9 motivational quotes to help students battle anxiety A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",Positive
https://timesofindia.indiatimes.com/business/india-business/governments-capex-spends-set-to-gather-pace/articleshow/118101012.cms,'Government's capex spends set to gather pace',"Nussrat Jahanâs beauty glows with effortless elegance Madhuri Dixit exudes timeless charm in a purple satin gown TF Recommends: Restaurants from across India to celebrate Valentine's Day 10 timeless love quotes by Rabindranath Tagore 10 ways to add vitamin C-rich oranges to your daily breakfast 10 fruits to keep the skin soft and healthy Kareena Kapoor's printed saree to Rekha's silk saree: 10 head-turning party-wear sarees worn by celebs Teddy Day 2025: 10 reasons why these cuddly bears are timeless gifts From black to golden, rare varieties of tigers to spot in Indian national parks",Positive
https://timesofindia.indiatimes.com/business/india-business/chennai-company-bags-rs-3251-crore-sewage-plant-order-in-saudi/articleshow/118101694.cms,"Chennai company bags Rs 3,251 crore sewage plant order in Saudi",Sonalee Kulkarni's best ethnic looks Unseen pictures from Keerthy Suresh's wedding How to become a better version of yourself easily and effectively Nussrat Jahanâs beauty glows with effortless elegance Madhuri Dixit exudes timeless charm in a purple satin gown TF Recommends: Restaurants from across India to celebrate Valentine's Day 10 timeless love quotes by Rabindranath Tagore 10 ways to add vitamin C-rich oranges to your daily breakfast 10 fruits to keep the skin soft and healthy,Positive
https://timesofindia.indiatimes.com/business/india-business/budget-2025-income-tax-personal-tax-announcements-from-the-budget-and-their-impact/articleshow/118009640.cms,Budget 2025 income tax: Personal tax announcements from the Budget and their impact,"TOI Business Experts delivers insightful, exclusive and unique perspectives across diverse domains, offering a nuanced understanding of the Indian economy, personal finance, income tax, business, technology, and stock markets. TOI Experts Speak contributes a comprehensive and informed narrative across key facets of the contemporary landscape. In the realm of the economy, they dissect macroeconomic trends and policy impacts. In personal finance and income tax, their opinions and recommendations span investments, savings, and financial planning. Business insights delve into corporate strategies and market dynamics. Technology coverage explores innovation and its societal effects, while stock market experts provide market intelligence and investment strategies.Read More 9 Biggest Time Wasters Students Should Avoid â8 proven tips for writing high-scoring answers in exam 8 Essential Skills Students Need for Employability 8 effective revision strategies to excel in your exams 8 things to do a day before your exam to score better 8 Clever Mind Hacks to Boost Your Academic Smarts 9 tricks to study smarter not harder during exams 9 good habits that successful students follow â10 proven strategies to combat stage fear and speak with confidence 9 motivational quotes to help students battle anxiety A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",Positive
https://timesofindia.indiatimes.com/business/india-business/income-tax-slabs-fy-2025-26-explained-20-faqs-individual-taxpayers-should-check-to-understand-tax-rates-income-tax-benefit-under-new-tax-regime/articleshow/117941315.cms,"Income Tax Slabs FY 2025-26 explained: 20 FAQs individual taxpayers should check to understand tax rates, income tax benefit under new tax regime","The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 9 Biggest Time Wasters Students Should Avoid â8 proven tips for writing high-scoring answers in exam 8 Essential Skills Students Need for Employability 8 effective revision strategies to excel in your exams 8 things to do a day before your exam to score better 8 Clever Mind Hacks to Boost Your Academic Smarts 9 tricks to study smarter not harder during exams 9 good habits that successful students follow â10 proven strategies to combat stage fear and speak with confidence 9 motivational quotes to help students battle anxiety A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",Positive
https://timesofindia.indiatimes.com/business/india-business/budget-signals-slowing-fiscal-consolidation-says-moodys/articleshow/117927388.cms,"Budget signals slowing fiscal consolidation, says Moody's","9 Biggest Time Wasters Students Should Avoid â8 proven tips for writing high-scoring answers in exam 8 Essential Skills Students Need for Employability 8 effective revision strategies to excel in your exams 8 things to do a day before your exam to score better 8 Clever Mind Hacks to Boost Your Academic Smarts 9 tricks to study smarter not harder during exams 9 good habits that successful students follow â10 proven strategies to combat stage fear and speak with confidence 9 motivational quotes to help students battle anxiety A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",Positive
https://timesofindia.indiatimes.com/business/india-business/union-budget-2025-centre-unveils-second-asset-monetization-plan-worth-rs-10-lakh-crore-for-2025-30/articleshow/117826080.cms,Union Budget 2025: Centre unveils second asset monetization plan worth Rs 10 lakh crore for 2025-30,"The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 9 Biggest Time Wasters Students Should Avoid â8 proven tips for writing high-scoring answers in exam 8 Essential Skills Students Need for Employability 8 effective revision strategies to excel in your exams 8 things to do a day before your exam to score better 8 Clever Mind Hacks to Boost Your Academic Smarts 9 tricks to study smarter not harder during exams 9 good habits that successful students follow â10 proven strategies to combat stage fear and speak with confidence 9 motivational quotes to help students battle anxiety A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",Positive
https://economictimes.indiatimes.com/markets/stocks/news/swiggy-shares-drop-another-6-investors-lost-rs-40250-crore-this-year/articleshow/118108715.cms,"Swiggy shares drop another 6%, investors lost Rs 40,250 crore this year","Stock Trading Maximise Returns by Investing in the Right Companies By - The Economic Times, Get Certified By India's Top Business News Brand Stock Trading Market 104: Options Trading: Kickstart Your F&O Adventure By - Saketh R, Founder- QuickAlpha, Full Time Options Trader Stock Trading Technical Analysis for Everyone - Technical Analysis Course By - Abhijit Paul, Technical Research Head, Fund Manager- ICICI Securities Stock Trading Stock Markets Made Easy By - elearnmarkets, Financial Education by StockEdge Stock Trading Renko Chart Patterns Made Easy By - Kaushik Akiwatkar, Derivative Trader and Investor Stock Trading Candlesticks Made Easy: Candlestick Pattern Course By - elearnmarkets, Financial Education by StockEdge Stock Trading Market 101: An Insight into Trendlines and Momentum By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Markets 102: Mastering Sentiment Indicators for Swing and Positional Trading By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Market 103: Mastering Trends with RMI and Techno-Funda Insights By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Dow Theory Made Easy By - Vishal Mehta, Independent Systematic Trader Stock Trading ROC Made Easy: Master Course for ROC Stock Indicator By - Souradeep Dey, Equity and Commodity Trader, Trainer Stock Trading RSI Made Easy: RSI Trading Course By - Souradeep Dey, Equity and Commodity Trader, Trainer Stock Trading Heikin Ashi Trading Tactics: Master the Art of Trading By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert Stock Trading RSI Trading Techniques: Mastering the RSI Indicator By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert Stock Trading Introduction to Technical Analysis & Candlestick Theory By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert (What's movingSensexandNiftyTracklatest market news,stock tips,Budget 2025,Share Market on Budget 2025andexpert advice, onETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts,subscribe to our Telegram feeds.) Subscribe toET Primeand read theEconomic Times ePaperOnline.andSensex Today. Top Trending Stocks:SBI Share Price,Axis Bank Share Price,HDFC Bank Share Price,Infosys Share Price,Wipro Share Price,NTPC Share Price (What's movingSensexandNiftyTracklatest market news,stock tips,Budget 2025,Share Market on Budget 2025andexpert advice, onETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts,subscribe to our Telegram feeds.) Subscribe toET Primeand read theEconomic Times ePaperOnline.andSensex Today. Top Trending Stocks:SBI Share Price,Axis Bank Share Price,HDFC Bank Share Price,Infosys Share Price,Wipro Share Price,NTPC Share Price  FIIs haven’t made great returns in 10 years and are exiting India. Will they come back? Sector funds you should, or shouldn’t, keep in your investment portfolio in 2025 Hero switches gears at the top. Why is the market so silent? RBI reduces interest rate, but it’s a cautious cut Stock Radar: Kotak Mahindra Bank stock breaks out from 3-year consolidation phase; time to buy or sell? Do dividend yields (DV) now justify buying PSU stocks? 5 stocks with an upside potential of up to 25% and DV of 5-10% Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Prime Articles Top Performing MF Top Definitions Top Commodities Top Slideshow Top Story Listing Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Worry not. You’re just a step away. It seems like you're already an ETPrime member with Login using your ET Prime credentials to enjoy all member benefits Log out of your current logged-in accountand log in again using your ET Prime credentials  to enjoy all member benefits.   Offer Exclusively For You Save up to Rs. 700/- ON ET PRIME MEMBERSHIP Offer Exclusively For You Get 1 Year Free With 1 and 2-Year ET prime membership Offer Exclusively For You Get 1 Year Free With 1 and 2-Year ET prime membership Offer Exclusively For You Get Flat 40% Off Then  ₹ 1749 for 1 year Offer Exclusively For You ET Prime at ₹ 49 for 1 month Then  ₹ 1749 for 1 year Special Offer Get flat 35% off on ETPrime        ₹  90 Days Prime access worth Rs999 unlocked for you Stories you might be interested in",Positive
https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-over-200-pts-nifty-below-23500-amid-trump-tariff-worries/articleshow/118104261.cms,"Why stock market is falling today: Key factors behind today's fall; Sensex declines 600 pts, Nifty below 23,400","Stock Trading Maximise Returns by Investing in the Right Companies By - The Economic Times, Get Certified By India's Top Business News Brand Stock Trading Market 104: Options Trading: Kickstart Your F&O Adventure By - Saketh R, Founder- QuickAlpha, Full Time Options Trader Stock Trading Technical Analysis for Everyone - Technical Analysis Course By - Abhijit Paul, Technical Research Head, Fund Manager- ICICI Securities Stock Trading Stock Markets Made Easy By - elearnmarkets, Financial Education by StockEdge Stock Trading Renko Chart Patterns Made Easy By - Kaushik Akiwatkar, Derivative Trader and Investor Stock Trading Candlesticks Made Easy: Candlestick Pattern Course By - elearnmarkets, Financial Education by StockEdge Stock Trading Market 101: An Insight into Trendlines and Momentum By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Markets 102: Mastering Sentiment Indicators for Swing and Positional Trading By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Market 103: Mastering Trends with RMI and Techno-Funda Insights By - Rohit Srivastava, Founder- Indiacharts.com Stock Trading Dow Theory Made Easy By - Vishal Mehta, Independent Systematic Trader Stock Trading ROC Made Easy: Master Course for ROC Stock Indicator By - Souradeep Dey, Equity and Commodity Trader, Trainer Stock Trading RSI Made Easy: RSI Trading Course By - Souradeep Dey, Equity and Commodity Trader, Trainer Stock Trading Heikin Ashi Trading Tactics: Master the Art of Trading By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert Stock Trading RSI Trading Techniques: Mastering the RSI Indicator By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert Stock Trading Introduction to Technical Analysis & Candlestick Theory By - Dinesh Nagpal, Full Time Trader, Ichimoku & Trading Psychology Expert (What's movingSensexandNiftyTracklatest market news,stock tips,Budget 2025,Share Market on Budget 2025andexpert advice, onETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts,subscribe to our Telegram feeds.) Subscribe toET Primeand read theEconomic Times ePaperOnline.andSensex Today. Top Trending Stocks:SBI Share Price,Axis Bank Share Price,HDFC Bank Share Price,Infosys Share Price,Wipro Share Price,NTPC Share Price (What's movingSensexandNiftyTracklatest market news,stock tips,Budget 2025,Share Market on Budget 2025andexpert advice, onETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts,subscribe to our Telegram feeds.) Subscribe toET Primeand read theEconomic Times ePaperOnline.andSensex Today. Top Trending Stocks:SBI Share Price,Axis Bank Share Price,HDFC Bank Share Price,Infosys Share Price,Wipro Share Price,NTPC Share Price  FIIs haven’t made great returns in 10 years and are exiting India. Will they come back? Sector funds you should, or shouldn’t, keep in your investment portfolio in 2025 Hero switches gears at the top. Why is the market so silent? RBI reduces interest rate, but it’s a cautious cut Stock Radar: Kotak Mahindra Bank stock breaks out from 3-year consolidation phase; time to buy or sell? Do dividend yields (DV) now justify buying PSU stocks? 5 stocks with an upside potential of up to 25% and DV of 5-10% Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Top Commodities Top Prime Articles Top Slideshow Top Story Listing Top Market Pages Private Companies Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Worry not. You’re just a step away. It seems like you're already an ETPrime member with Login using your ET Prime credentials to enjoy all member benefits Log out of your current logged-in accountand log in again using your ET Prime credentials  to enjoy all member benefits.   Offer Exclusively For You Save up to Rs. 700/- ON ET PRIME MEMBERSHIP Offer Exclusively For You Get 1 Year Free With 1 and 2-Year ET prime membership Offer Exclusively For You Get 1 Year Free With 1 and 2-Year ET prime membership Offer Exclusively For You Get Flat 40% Off Then  ₹ 1749 for 1 year Offer Exclusively For You ET Prime at ₹ 49 for 1 month Then  ₹ 1749 for 1 year Special Offer Get flat 35% off on ETPrime        ₹  90 Days Prime access worth Rs999 unlocked for you Stories you might be interested in",Positive
